state,season,crop_name,crop_stage,crop_stage_classified,advisory_index,advisory_code,advisory_title,advisory_type,advisory_class,rain_min,rain_max,rain_mean,temp_min,temp_max,rh_min,rh_max,rainydays_min,raindays_max,wind_min,wind_max,landtype,advisory_content,cropstage_week_start,cropstage_week_end,agro_week,day_of_month,month_of_year
Odisha,Rabi,Blackgram,Pod Formation ,Pod Formation ,11,OD-ALL-RB-BG-PF-Irrigation management,"Irrigation management 
",Standard,Irrigation,0,5,,16,26,55,70,0,1,,,,"During the pod formation stage (43–56 DAS), maintaining adequate soil moisture is vital for proper pod development and grain filling in Blackgram. If there is no rainfall for 7–10 days, provide light to moderate irrigation (4–5 cm depth) using the furrow or basin method, avoiding waterlogging. Mulching with crop residues or straw helps conserve moisture and regulate soil temperature. Irrigate in the early morning or late afternoon to reduce evaporation losses and ensure good drainage. Monitor for pests like pod borer, aphids, whitefly, and tobacco caterpillar, which are active during this stage. Timely application of neem-based or recommended insecticides helps protect pods while maintaining optimal soil moisture.",5,6,Week 7,29,11
Odisha,Rabi,Blackgram,Pod Formation ,Pod Formation ,12,"OD-ALL-RB-BG-PF-Pest management (Pod Borer, Whitefly, Aphids, Thrips, Powdery Mildew)_Disease Management (Rust)","Pest management (Pod Borer, Whitefly, Aphids, Thrips, Powdery Mildew)
Disease Management (Rust)",Dynamic,Pest,,,,,,,,,,,,,,5,6,Week 7,29,11
Odisha,Rabi,Blackgram,Grain Filling,Grain Filling,13,"OD-ALL-RB-BG-GF-Pest management (Pod Borer, Bihar Hairy Caterpillar, Aphids, Whitefly, Tobacco Caterpillar, Pod fly)_Disease (Rust, Powdery Mildew, Cercospora Leaf Spot)","Pest management (Pod borer, Bihar Hairy Caterpillar, Aphids, Whitefly, Tobacco Caterpillar, Pod fly)
Disease (Rust, Powdery Mildew, Cercospora Leaf Spot)",Dynamic,Pest,,,,,,,,,,,,,,6,8,Week 8-9,6,12
Odisha,Rabi,Blackgram,Maturity & Harvest ,Maturity & Harvest ,14,OD-ALL-RB-BG-MH-Harvesting management,Harvesting management,Standard,Harvest,0,0,,0,0,65,80,0,0,,,,Harvest management and Storage practices in Blackgram. Pods should be harvested at 70-80 % maturity when most of the pods turn black. Threshing is done manually or using machineries like vertical flow pulse thresher cum winnower and sun dried for 3 - 4 days to attain a moisture content of 8-10%. Apply edible oil @200 ml/quintal of grain or neem oil @200-250 ml / 50 kg of grain and mix it well to store for longer period. Mix neem leaves or begonia leaves to prevent storage pest attack @ 50g/kg of seeds.                         ,8,11,Week 10–12 ,21,12
Odisha,Rabi,Blackgram,Post-Harvest,Post-Harvest,15,OD-ALL-RB-BG-PH-Storage Management,Storage Management,Standard,Storage,,,,,,,,,,,,,"After harvesting Blackgram, dry the seeds until the optimum moisture content is attained. Clean the entire surface where the storage is to be done. Thereafter, mix 250 ml of any edible oil per quintal of seed to reduce the infestation of pest during the storage. Dried leaves of either Begonia or Neem @ 1 kg/Bag can also be kept inside the storage bag to avoid pest infestation. To decrease the pest infestation during storage, dip the gunny bags in boiling water for 15min then dry it properly under the sun before filling the seeds in the bags. Else prepare Malathion 5ml per litre of water solution and then dip the gunny bags in it for 15min and then dry it properly under the sun. Thereafter store the seeds in the bags.",11,12,Week 13,11,1
Odisha,Rabi,Mustard,Pre Sowing,Pre Sowing,1,OD-ALL-RB-M-PS-Varietal selection and seed rate ,Varietal selection and seed rate ,Fixed,Variety,,,,,,,,,,,,,"Important varieties, seed treatment and fertilizer management of mustard crop for odisha condition. This include NRCYS-05-02, NRCBH 101, Rajendra Suphalam, NDRE 7 (110 days), Pusa Bold, Pusa Bahar, Varuna (115 days), Pusa Mahak, Pusa Agrani, Pusa Jiakisan (95 days), Kranti (125 days). The seed rate for mustard cultivation is 3-4 kg/acre.",,,Week 0,1,11
Odisha,Rabi,Mustard,Land Prep & Sowing,Land Prep & Sowing,2,OD-ALL-RB-M-LP-Land Preparation,Land Preparation,Fixed,Generic,0,10,,20,28,65,80,0,1,,,,"After selecting the land, plough the land for 3-4 times to loosen the soil through primary tillage to improve air circulation, drainage, and allow roots to penetrate deeper. Due to this clean the grass and roots of the previous crop. When the soil is having moisture sow mustard seeds in the field.",,,Week 0,1,11
Odisha,Rabi,Mustard,Land Preparation & Planting,Land Preparation & Planting,3,OD-ALL-RB-M-LP-Planting method,Planting method,Standard,Planting method,0,15,,18,26,70,85,1,2,,,,"Generally, mustard is sown using a seed drill or by broadcasting them. It is important to thin seedlings to about 3 inches apart once they are established, and to ensure the soil is moist for germination If sown in rows, weeding, fertilizer application and pesticide spraying are convenient and cost-effective. Give 30 cm between rows and 10 cm between plants. ",0,1,Week 1,8,11
Odisha,Rabi,Mustard,Germination & Seedling,Germination & Seedling,4,OD-ALL-RB-M-GS-Seed rate_Seed treatment,"Seed rate, Seed treatment",Standard,Seed rate and seed treatment,5,20,,15,25,75,90,1,2,,,,The seed rate for mustard cultivation is 3-4 kg/acre. Go for seed treatment before Sowing.Treat the seeds with Carbendazim 50% WP @ 2-gram/ kg of seeds or Carboxin 37.5 % + Thiram 37.5% D.S @ 3-gram/ kg of seeds. Plough the field 3 to 4 times and apply 2 tonnes of well decomposed FYM or Compost. Sow the seeds in line. Keep the row to row spacing of 30 cm and plant to plant spacing of 10 cm.,1,2,Week 2,15,11
Odisha,Rabi,Mustard,Germination & Seedling,Germination & Seedling,5,OD-ALL-RB-M-GS-Basal Fertilizer and spacing,Basal Fertilizer management and spacing,Standard,Fertilizer,0,10,,15,26,70,85,0,1,,,,"Fertilizer management in mustard. Plough the field 3 to 4 times and apply 2 tonnes of well decomposed FYM or Compost. Apply 100 kg of Gypsum per acre during final land preparation. For unirrigated condition where shorter duration varieties are grown apply 18-kg DAP, 28-kg Urea and 14 -kg of Murate of Potash before sowing of seeds and mix it properly to the soil. In irrigated condition where longer duration varieties are grown apply 22-kg of DAP, 13 kg of Urea (50%) and 17 kg of Murate of Potash. In soils that are deficient in sulfur and boron, 8 kg. of sulfur and 4 kg. of boron should be applied per acre. Sow the seeds in line. Keep the row to row spacing of 30 cm and plant to plant spacing of 10 cm.",1,2,Week 2,15,11
Odisha,Rabi,Mustard,Germination & Seedling,Germination & Seedling,6,OD-ALL-RB-M-GS-Preemergence weed management,Preemergence weed management,Standard,Weed,0,10,,16,27,60,80,0,1,,,,"Pre-emergence weed management in Mustard crop. To manage weeds in line sown Mustard, apply Isoproturon 50% WP @ 600-gram/acre or Oxyfluorfen 23.5 % EC @ 80ml/acre or Pendimethalin 30 % EC @ 750 ml/acre at 1-3 DAS. There should be sufficient moisture in soil during herbicide application. Go for thinning of crop at 15 DAS to maintain plant to plant spacing at 10 cm.",1,2,Week 2,15,11
Odisha,Rabi,Mustard,Germination & Seedling,Germination & Seedling,7,"OD-ALL-RB-M-GS-Pest and disease (Mustard sawfly,Dry Root Rot)","Pest and disease (Mustard sawfly,Dry Root Rot)",Dynamic,Pest,,,,,,,,,,,,,,2,4,Week 3-4,21,11
Odisha,Rabi,Mustard,Early Vegetative,Early Vegetative,8,OD-ALL-RB-M-EV-Post emergence weed Management,Post emergence weed Management,Standard,Weed,0,10,,14,26,60,80,0,1,,,,If pre-emergence herbicide is not applied during sowing than to manage weeds apply post emergence herbicide like Quizalofop-Ethyl 5 % EC (Only for narrow weeds) @ 400-ml/acre should be applied at 15-20 DAS by mixing it in 200 litre of water. Always use flat-fan or flood-jet nozzle and clean water for herbicide spraying.,4,5,Week 5-6,1,12
Odisha,Rabi,Mustard,Vegetative Growth ,Vegetative Growth ,9,OD-ALL-RB-M-VG-Interculture and Nutrient Management,Interculture and Nutrient Management ,Standard,Fertilizer,0,10,,12,25,55,75,0,1,,,,"Interculture and nutrient management in irrigated mustard crop. Go for thinning of seedlings, removal of weak and diseased seedlings at 15 -20 DAS to maintain plant to plant spacing at 10 cm. Go for hoeing and hand weeding at 21 DAS and apply 21 kg of Urea in irrigated condition at this stage.",5,6,Week 6,8,12
Odisha,Rabi,Mustard,Vegetative Growth ,Vegetative Growth ,10,"OD-ALL-RB-M-VG-Pest management (Mustard sawfly, Leaf miner, Leaf webber, Diamondback moth)","Pest management (Mustard sawfly, Leaf miner, Leaf webber, Diamondback moth), Disease Management (Alternaria blight , White rust, Downy mildew, Dry Root Rot)",Dynamic,Pest,,,,,,,,,,,,,,6,7,Week 7-8,16,12
Odisha,Rabi,Mustard,Flowering,Flowering,11,OD-ALL-RB-M-F-Irrigation management,Irrigation management ,Dynamic,Irrigation,0,5,,10,23,55,70,0,1,,,,"During the flowering stage (around 40–55 DAS) of mustard, maintaining adequate soil moisture is vital for good flower retention and pod setting. If there is no rainfall for 10–12 days, provide a light irrigation of 5–6 cm using furrow or check basin methods, ensuring that waterlogging is avoided to prevent Sclerotinia Stem rot and Alternaria blight. Irrigation should be done in the early morning or late afternoon to minimize evaporation losses. Light hoeing after irrigation and mulching with crop residues help conserve moisture and improve aeration, leading to better seed filling and yield.",6,7,Week 7-8,16,12
Odisha,Rabi,Mustard,Flowering ,Flowering ,12,"OD-ALL-RB-M-F-Pest management (Leaf webber, Diamondback moth, Cabbage butterfly, Mustard aphid )-Disease Management (Alternaria blight , White rust, Downy mildew, Sclerotinia Stem rot, Dry Root Rot)","Pest management (Leaf webber, Diamondback moth, Cabbage butterfly, Mustard aphid ), Disease Management (Alternaria blight , White rust, Downy mildew, Sclerotinia Stem rot, Dry Root Rot)",Dynamic,Pest,,,,,,,,,,,,,,7,9,Week 9-10,31,12
Odisha,Rabi,Mustard,Pod Formation ,Pod Formation ,13,OD-ALL-RB-M-PF-Irrigation management,Irrigation management ,Dynamic,Irrigation,0,5,,12,24,60,75,0,1,,,,"During the pod or siliqua formation stage (around 60–75 DAS) of mustard, adequate soil moisture is essential for proper pod filling and seed development. If there is no rainfall for 10–12 days, provide a light irrigation of 5–6 cm using furrow or check basin methods, ensuring that no water stagnates in the field to avoid root or stem rot. This stage is critical, as moisture stress can cause shrivelled seeds and yield loss. Irrigate during the early morning or late afternoon to reduce evaporation losses. Mulching with dry crop residues helps retain moisture and maintain soil temperature. Proper drainage should be maintained to prevent waterlogging and disease incidence such as Alternaria blight or White rust.",9,11,Week 11-12,9,1
Odisha,Rabi,Mustard,Pod Formation ,Pod Formation ,14,"OD-ALL-RB-M-PF-Pest management (Diamondback moth, Cabbage butterfly, Mustard aphid , Painted bug)_Disease Management (Alternaria blight , Sclerotinia Stem rot, Dry Root Rot)","Pest management (Diamondback moth, Cabbage butterfly, Mustard aphid , Painted bug),Disease Management (Alternaria blight , Sclerotinia Stem rot, Dry Root Rot)",Dynamic,Pest,,,,,,,,,,,,,,11,12,Week13,16,1
Odisha,Rabi,Mustard,Grain Filling,Grain Filling,15,"OD-ALL-RB-M-GF-Pest management (Diamondback moth, Cabbage butterfly, Mustard aphid , Painted bug)_Disease (Alternaria blight , Sclerotinia Stem rot, Dry Root Rot)","Pest management (Diamondback moth, Cabbage butterfly, Mustard aphid , Painted bug), Disease (Alternaria blight , Sclerotinia Stem rot, Dry Root Rot)",Dynamic,Pest,,,,,,,,,,,,,,12,13,Week 14,23,1
Odisha,Rabi,Mustard,Maturity & Harvest ,Maturity & Harvest ,16,OD-ALL-RB-M-MH-Harvesting management,Harvesting management,Standard,Harvest,0,0,,15,28,50,65,0,1,,,,Harvest the crop as soon as the pods turn yellowish-brown. The crop is liable to shattering; hence it should be harvested just before the pods open to avoid losses. The harvested crop should be stacked in threshing floor for 5-days before threshing. After thrashing dry the seeds in sunlight for few days to bring the moisture content of seeds up to 8 %.,13,15,Week 15-16,30,1
Odisha,Rabi,Mustard,Post-Harvest,Post-Harvest,17,OD-ALL-RB-M-PH-Storage Management,Storage Management,Standard,Storage,,,,,,,,,,,,,"After threshing, dry the mustard seeds in sunlight for 3–4 days until the moisture content reaches about 8%. Clean the seeds to remove dust and chaff. Store the dried seeds in airtight gunny bags, metal bins, or plastic-lined containers and keep them in a cool, dry, and well-ventilated place away from damp walls and floor. For long-term storage, mix neem leaves or treat with Malathion 5% dust @ 250 g per 100 kg seed to protect from storage pests. Regularly check the stored seeds for moisture or insect attack.",15,17,Week 17-18,16,2
Odisha,Rabi,Greengram,Pre Sowing,Pre Sowing,1,OD-ALL-RB-GG-PS-Varietal selection and seed rate ,Varietal selection and seed rate ,Fixed,Variety,0,0,,0,0,0,0,0,0,,,,"Some developed varieties of green gram include TARM 1, TARM 2, Jyoti , Kamdev (OUM 11-5), Pusa Bold 1, Dhauli, Pragyan, Durga (OBGG-52), Shreya (IPM 02-14), Meha (IPM 99-125), LGG 460, TU 40.",,,Week 0,1,11
Odisha,Rabi,Greengram,Land Prep & Sowing,Land Prep & Sowing,2,OD-ALL-RB-GG-LP-Land Preparation,Land Preparation,Fixed,Generic,0,5,,23,30,70,85,0,1,,,,"Farmers are advised to start land preparation immediately after the paddy harvest especially when grown under residual soil moisture after the harvest. Plough the field 2–3 times to break clods and obtain a fine tilth. Level the land properly to conserve residual moisture and ensure uniform germination. In areas with poor drainage, make broad beds and furrows or raised beds to avoid waterlogging. Apply well-decomposed FYM or compost @ 2 t/acre during the last ploughing to improve soil fertility and moisture-holding capacity. In case of dry soil, apply one pre-sowing irrigation to ensure uniform germination. Avoid deep sowing and ensure proper seed-soil contact. If soil moisture is inadequate, delay sowing until light rainfall or irrigation is available. Farmers should ensure proper field bunding to retain moisture and prevent runoff. In areas prone to moisture stress, apply light irrigation at flowering and pod formation stages, which are critical for yield improvement. Protect seedlings from pests like cutworm, termites.",,,Week 1,8,11
Odisha,Rabi,Greengram,Land Prep & Sowing,Land Prep & Sowing,3,OD-ALL-RB-GG-LP-Seed rate_Seed treatment,"Seed rate, Seed treatment",Fixed,Seed rate and seed treatment,0,5,,23,30,70,85,0,1,,,,"Treat 10 kg of seeds are required for sowing in an acre area. Seed treatment should be done before 1 week of sowing with carbendazim @ 2 g/ kg or Carboxin 37.5 % + Thiram 37.5% D.S @ 2 -gram/ kg of seeds. On the day of sowing prepare a slurry of 20 g bacteria culture with jaggery @ 50 gram and 40 ml water for 1 kg seed and mix it with seeds, then shade dry and sow it in afternoon. Apply Trichoderma viride @ 4g / kg of seed or Pseudomonas fluorescens @ 10 g/kg seed. To increase the biological nitrogen fixation mix Rhizobium 200 g and PSB 250 g in 600 ml water per 10 kg of seed followed by drying for 12 hrs. in shade. Seeds are treated with Thiamethoxam 30% FS @ 10 ml/ kg To prevent sucking pest and with carbosulfan 25 EC @ 2g/ Kg of seed to prevent nematode infestation. Sow the seeds at 20 cm x 10 cm spacing after seed treatment is done.",,,Week 1,15,10
Odisha,Rabi,Greengram,Germination & Seedling,Germination & Seedling,4,OD-ALL-RB-GG-GS-Basal Fertilizer,Basal Fertilizer management and spacing,Standard,Fertilizer,0,10,,22,30,70,85,0,1,,,,"Plough the field till fine tilth and apply 4 kg urea, 35 kg DAP, 13 kg MOP along with 2 tons well decomposed cowdung manure. Sow the seeds at 25 c.m x 10 c.m spacing after seed treatment is done. ",0,1,Week 2 ,23,10
Odisha,Rabi,Greengram,Germination & Seedling,Germination & Seedling,5,OD-ALL-RB-GG-GS-Preemergence weed management,Preemergence weed management,Standard,Weed,0,5,,22,29,65,80,0,1,,,,"To manage weeds at early stages in these crops, spray pre-emergence herbicide Pendimethalin 30 % E.C @ 1 litre /acre at 1-2 DAS by mixing in 200-litre of water. ",1,2,Week 3,23,10
Odisha,Rabi,Greengram,Germination & Seedling,Germination & Seedling,6,"OD-ALL-RB-GG-GS-Pest and disease (Stem fly, Root rot)","Pest and disease (Stem fly, Root rot)",Dynamic,Pest,0,0,,0,0,0,0,0,0,,,,,1,2,Week 3 ,23,10
Odisha,Rabi,Greengram,Early Vegetative,Early Vegetative,7,OD-ALL-RB-GG-EV-Post emergence weed Management,Post emergence weed Management,Standard,Weed,0,5,,22,29,65,80,0,1,,,,If pre-emergence herbicide is not applied during sowing than to manage weeds in these crops post emergence application of herbicide like Imazethapyr 10 % SL(For both narrow and broadleaf weeds) @ 300-ml/acre or Quizalofop-Ethyl 5 % EC (Only for narrow weeds) @ 400-ml/acre should be applied at 15-DAS by mixing it in 200 litre of water. Always use flat-fan or flood-jet nozzle and clean water for herbicide spraying.,1,2,Week 3 ,31,10
Odisha,Rabi,Greengram,Vegetative Growth ,Vegetative Growth ,8,"OD-ALL-RB-GG-VG-Pest management (Aphids, Thrips, Leafhopper, Whitefly_Disease Management (Bacterial Wilt, Cercospora leaf spot, Anthracnose, Bacterial Leaf Spot / Blight)","Pest management (Aphids, Thrips, Leafhopper, Whitefly), Disease Management (Wilt, Cercospora leaf spot, Anthracnose, Bacterial Leaf Spot / Blight)",Dynamic,Pest,0,0,,0,0,0,0,0,0,,,,,2,3,Week 4,8,11
Odisha,Rabi,Greengram,Flowering,Flowering,9,OD-ALL-RB-GG-F_Irrigation management,Irrigation management,Dynamic,Irrigation,0,5,,20,28,60,75,0,1,,,,"During the flowering stage (30–45 DAS), greengram is highly sensitive to moisture stress, so maintaining adequate soil moisture is crucial. If there is no rainfall for 7–10 days, provide light irrigation (4–5 cm depth) using the furrow or check basin method, avoiding water stagnation. Ensure proper drainage to prevent diseases like powdery mildew and rust. Irrigate in the early morning or late afternoon to reduce evaporation losses. Mulching with dry straw or crop residues helps conserve soil moisture. Avoid over-irrigation, as it may cause flower drop. For better pod setting and uniform flowering, apply a foliar spray of 2% DAP solution or NAA @ 40 ppm during early flowering.",3,4,Week 5 ,15,11
Odisha,Rabi,Greengram,Flowering ,Flowering ,10,"OD-ALL-RB-GG-F_Pest management (Aphids, Whitefly)_Disease Management (Rust, Anthracnose, Leaf spot, Powdery Mildew, Yellow Mosaic Virus)","Pest management (Aphids, Whitefly), Disease Management (Rust, Anthracnose, Bacterial Leaf Spot / Blight, Cercospora Leaf Spot, Powdery Mildew, Yellow Mosaic Virus)",Dynamic,Pest,0,0,,0,0,0,0,0,0,,,,,4,5,Week 6,22,11
Odisha,Rabi,Greengram,Pod Formation ,Pod Formation ,11,OD-ALL-RB-GG-PF-Irrigation management,Irrigation management ,Dynamic,Irrigation,0,5,,16,26,55,70,0,1,,,,"During the pod formation stage (43–56 DAS), maintaining adequate soil moisture is vital for proper pod development and grain filling in greengram. If there is no rainfall for 7–10 days, provide light to moderate irrigation (4–5 cm depth) using the furrow or basin method, avoiding waterlogging. Mulching with crop residues or straw helps conserve moisture and regulate soil temperature. Irrigate in the early morning or late afternoon to reduce evaporation losses and ensure good drainage. Monitor for pests like pod borer, aphids, whitefly, and tobacco caterpillar, which are active during this stage. Timely application of neem-based or recommended insecticides helps protect pods while maintaining optimal soil moisture.",5,6,Week 7,29,11
Odisha,Rabi,Greengram,Pod Formation ,Pod Formation ,12,"OD-ALL-RB-GG-PF-Pest management (Pod borer, Whitefly, Aphids, Thrips, Powdery Mildew)_Disease Management (Rust)","Pest management (Pod borer, Whitefly, Aphids, Thrips, Powdery Mildew), Disease Management (Rust)",Dynamic,Pest,0,0,,0,0,0,0,0,0,,,,,5,6,Week 7,29,11
Odisha,Rabi,Greengram,Grain Filling,Grain Filling,13,"OD-ALL-RB-GG-GF-Pest management (Pod borer, Bihar Hairy Caterpillar, Aphids, Whitefly, Tobacco caterpillar, Pod fly)_Disease (Rust, Powdery Mildew, Cercospora Leaf Spot)","Pest management (Pod borer, Bihar Hairy Caterpillar, Aphids, Whitefly, Tobacco caterpillar, Pod fly), Disease (Rust, Powdery Mildew, Cercospora Leaf Spot)",Dynamic,Pest,0,0,,0,0,0,0,0,0,,,,,6,8,Week 8-9,6,12
Odisha,Rabi,Greengram,Maturity & Harvest ,Maturity & Harvest ,14,OD-ALL-RB-GG-MH-Harvesting management,Harvesting management,Standard,Harvest,0,0,,0,0,65,80,0,0,,,,Harvest management and Storage practices in Greengram. Pods should be harvested at 70-80 % maturity when most of the pods turn black. Threshing is done manually or using machineries like vertical flow pulse thresher cum winnower and sun dried for 3 - 4 days to attain a moisture content of 8-10%. Apply edible oil @200 ml/quintal of grain or neem oil @200-250 ml / 50 kg of grain and mix it well to store for longer period. Mix neem leaves or begonia leaves to prevent storage pest attack @ 50g/kg of seeds.                         ,8,11,Week 10–12 ,21,12
Odisha,Rabi,Greengram,Post-Harvest,Post-Harvest,15,OD-ALL-RB-GG-PH-Storage Management,Storage Management,Standard,Storage,0,0,,0,0,0,0,0,0,,,,"After harvesting Greengram, dry the seeds until the optimum moisture content is attained. Clean the entire surface where the storage is to be done. Thereafter, mix 250 ml of any edible oil per quintal of seed to reduce the infestation of pest during the storage. Dried leaves of either Begonia or Neem @ 1 kg/Bag can also be kept inside the storage bag to avoid pest infestation. To decrease the pest infestation during storage, dip the gunny bags in boiling water for 15min then dry it properly under the sun before filling the seeds in the bags. Else prepare Malathion 5ml per litre of water solution and then dip the gunny bags in it for 15min and then dry it properly under the sun. Thereafter store the seeds in the bags.",11,12,Week 13,11,1
Odisha,Rabi,Paddy,Pre Sowing,Pre Sowing,1,OD-ALL-RB-TR-PDY-PS-Variety and seed treatment,Suitable variety & Seed treatment,Fixed,Generic,,,,,,,,,,,,,"Arrange good quality paddy seed varieties like Satyabhama, Sahabhagi Dhan, Mandakini, Manaswini, DRR 42, DRR-43, DRR-44, Bina 11, GB-1, Improved Lalat, MTU 1010, MTU 1001, Naveen, Swarna Shreya and Luna SanRBi (Coastal Saline) which can be grown during dry season. Seed rate for an acre of land is 20 kg for these varieties. Treat the seeds with Carbendazim 50% W.P @ 2-gram/1-kg of seeds or Carboxin 37.5% + Thiram 37.5 % @ 2- gram /1 kg of seeds (Dry treatment) before sowing in the nursery. ",0,0,Week 0,1,11
