season,crop_name,pest&disease_name,state,district,week1,week2,Tmin1,Tmin2,Tmax1,Tmax2,Tavg1,Tavg2,RHavg1,RHavg2,RHmax1,RHmax2,RHmin1,RHmin2,Rain1,Rain2,SSH1,SSH2,Wind1,Wind2,pest_slug
Rabi,Blackgram,Yellow Mosaic Virus,Odisha,Jajpur,4,9,18,22,28,32,,,,,84,90,46,52,7,15,6,9,5,10,yellow-mosaic-virus
Rabi,Blackgram,Yellow Mosaic Virus,Odisha,Jharsuguda,3,8,15,19,31,35,,,,,80,86,41,47,4,12,7,10,5,9,yellow-mosaic-virus
Rabi,Blackgram,Yellow Mosaic Virus,Odisha,Kalahandi,3,8,15,19,30,34,,,,,81,87,40,46,5,12,7,10,4,9,yellow-mosaic-virus
Rabi,Blackgram,Yellow Mosaic Virus,Odisha,Kandhamal,3,8,14,18,28,32,,,,,82,88,39,45,6,13,7,10,4,9,yellow-mosaic-virus
Rabi,Blackgram,Yellow Mosaic Virus,Odisha,Kendrapara,4,9,19,23,29,33,,,,,86,92,48,54,8,16,6,9,6,11,yellow-mosaic-virus
Rabi,Blackgram,Yellow Mosaic Virus,Odisha,Keonjhar,3,8,16,20,29,33,,,,,83,89,42,48,6,13,7,10,5,9,yellow-mosaic-virus
Rabi,Blackgram,Yellow Mosaic Virus,Odisha,Khordha,4,9,18,22,29,33,,,,,85,91,45,51,7,15,6,9,5,10,yellow-mosaic-virus
Rabi,Blackgram,Yellow Mosaic Virus,Odisha,Koraput,3,8,14,18,28,32,,,,,82,88,38,44,6,12,7,10,4,9,yellow-mosaic-virus
Rabi,Blackgram,Yellow Mosaic Virus,Odisha,Malkangiri,3,8,16,20,30,34,,,,,83,89,41,47,7,13,7,10,4,9,yellow-mosaic-virus
Rabi,Blackgram,Yellow Mosaic Virus,Odisha,Mayurbhanj,3,8,17,21,29,33,,,,,84,90,43,49,6,13,7,10,5,9,yellow-mosaic-virus
Rabi,Blackgram,Yellow Mosaic Virus,Odisha,Nabarangpur,3,8,15,19,30,34,,,,,82,88,40,46,6,12,7,10,4,9,yellow-mosaic-virus
Rabi,Blackgram,Yellow Mosaic Virus,Odisha,Nayagarh,3,8,17,21,29,33,,,,,83,89,44,50,6,13,7,10,5,9,yellow-mosaic-virus
Rabi,Blackgram,Yellow Mosaic Virus,Odisha,Nuapada,3,8,15,19,31,35,,,,,81,87,40,46,5,12,7,10,4,9,yellow-mosaic-virus
Rabi,Blackgram,Yellow Mosaic Virus,Odisha,Puri,4,9,19,23,29,33,,,,,86,92,46,52,7,15,6,9,6,11,yellow-mosaic-virus
Rabi,Blackgram,Yellow Mosaic Virus,Odisha,Rayagada,3,8,15,19,29,33,,,,,82,88,40,46,6,12,7,10,4,9,yellow-mosaic-virus
Rabi,Blackgram,Yellow Mosaic Virus,Odisha,Sambalpur,3,8,16,20,30,34,,,,,82,88,41,47,5,12,7,10,5,9,yellow-mosaic-virus
Rabi,Blackgram,Yellow Mosaic Virus,Odisha,Sonepur,3,8,15,19,31,35,,,,,81,87,40,46,5,12,7,10,5,9,yellow-mosaic-virus
Rabi,Blackgram,Yellow Mosaic Virus,Odisha,Sundargarh,3,8,15,19,30,34,,,,,81,87,41,47,5,12,7,10,5,9,yellow-mosaic-virus
Rabi,Blackgram,Cercospora Leaf Spot,Odisha,Angul,3,8,17,21,29,33,,,,,82,88,60,66,5,15,6,8,5,10,cercospora-leaf-spot
Rabi,Blackgram,Cercospora Leaf Spot,Odisha,Balasore,4,9,18,22,28,32,,,,,85,91,63,69,8,18,5,7,6,11,cercospora-leaf-spot
Rabi,Blackgram,Cercospora Leaf Spot,Odisha,Bargarh,3,8,16,20,30,34,,,,,80,86,58,64,4,14,6,8,5,10,cercospora-leaf-spot
Rabi,Blackgram,Cercospora Leaf Spot,Odisha,Bhadrak,4,9,18,22,29,33,,,,,86,92,64,70,8,18,5,7,6,11,cercospora-leaf-spot
Rabi,Blackgram,Cercospora Leaf Spot,Odisha,Balangir,3,8,17,21,30,34,,,,,81,87,59,65,5,15,6,8,5,10,cercospora-leaf-spot
Rabi,Blackgram,Cercospora Leaf Spot,Odisha,Boudh,3,8,16,20,29,33,,,,,82,88,60,66,5,15,5,8,5,10,cercospora-leaf-spot
Rabi,Blackgram,Cercospora Leaf Spot,Odisha,Cuttack,4,9,18,22,28,32,,,,,84,90,62,68,7,17,5,7,6,11,cercospora-leaf-spot
Rabi,Blackgram,Cercospora Leaf Spot,Odisha,Deogarh,3,8,16,20,30,34,,,,,79,85,57,63,4,14,6,8,5,10,cercospora-leaf-spot
Rabi,Blackgram,Cercospora Leaf Spot,Odisha,Dhenkanal,3,8,17,21,29,33,,,,,83,89,61,67,6,16,6,8,6,11,cercospora-leaf-spot
Rabi,Blackgram,Cercospora Leaf Spot,Odisha,Gajapati,4,9,16,20,28,32,,,,,82,88,60,66,5,15,5,7,5,10,cercospora-leaf-spot
Rabi,Blackgram,Cercospora Leaf Spot,Odisha,Ganjam,4,9,17,21,29,33,,,,,84,90,62,68,7,17,5,8,6,11,cercospora-leaf-spot
Rabi,Blackgram,Cercospora Leaf Spot,Odisha,Jagatsinghapur,4,9,19,23,28,32,,,,,87,93,65,71,9,19,5,7,6,11,cercospora-leaf-spot
Rabi,Blackgram,Cercospora Leaf Spot,Odisha,Jajpur,4,9,18,22,28,32,,,,,85,91,63,69,8,18,5,7,6,11,cercospora-leaf-spot
Rabi,Blackgram,Cercospora Leaf Spot,Odisha,Jharsuguda,3,8,16,20,30,34,,,,,78,84,56,62,4,14,6,8,5,10,cercospora-leaf-spot
Rabi,Blackgram,Cercospora Leaf Spot,Odisha,Kalahandi,3,8,16,20,30,34,,,,,79,85,57,63,5,15,6,8,5,10,cercospora-leaf-spot
Rabi,Blackgram,Cercospora Leaf Spot,Odisha,Kandhamal,3,8,14,18,27,31,,,,,83,89,61,67,5,15,5,7,4,9,cercospora-leaf-spot
Rabi,Blackgram,Cercospora Leaf Spot,Odisha,Kendrapara,4,9,19,23,28,32,,,,,87,93,65,71,9,19,5,7,6,11,cercospora-leaf-spot
Rabi,Blackgram,Cercospora Leaf Spot,Odisha,Keonjhar,3,8,16,20,28,32,,,,,82,88,60,66,5,15,6,8,5,10,cercospora-leaf-spot
Rabi,Blackgram,Cercospora Leaf Spot,Odisha,Khordha,4,9,18,22,29,33,,,,,85,91,63,69,8,18,5,7,6,11,cercospora-leaf-spot
Rabi,Blackgram,Cercospora Leaf Spot,Odisha,Koraput,3,8,13,17,27,31,,,,,84,90,62,68,5,15,5,8,4,9,cercospora-leaf-spot
Rabi,Blackgram,Cercospora Leaf Spot,Odisha,Malkangiri,3,8,16,20,28,32,,,,,83,89,61,67,5,15,5,8,5,10,cercospora-leaf-spot
Rabi,Blackgram,Cercospora Leaf Spot,Odisha,Mayurbhanj,3,8,17,21,28,32,,,,,82,88,60,66,6,16,6,8,5,10,cercospora-leaf-spot
Rabi,Blackgram,Cercospora Leaf Spot,Odisha,Nabarangpur,3,8,16,20,28,32,,,,,82,88,60,66,5,15,5,8,5,10,cercospora-leaf-spot
Rabi,Blackgram,Cercospora Leaf Spot,Odisha,Nayagarh,3,8,17,21,29,33,,,,,84,90,62,68,7,17,5,8,6,11,cercospora-leaf-spot
Rabi,Blackgram,Cercospora Leaf Spot,Odisha,Nuapada,3,8,16,20,30,34,,,,,79,85,57,63,5,15,6,8,5,10,cercospora-leaf-spot
Rabi,Blackgram,Cercospora Leaf Spot,Odisha,Puri,4,9,19,23,28,32,,,,,86,92,64,70,9,19,5,7,6,11,cercospora-leaf-spot
Rabi,Blackgram,Cercospora Leaf Spot,Odisha,Rayagada,3,8,15,19,27,31,,,,,83,89,61,67,5,15,5,8,5,10,cercospora-leaf-spot
Rabi,Blackgram,Cercospora Leaf Spot,Odisha,Sambalpur,3,8,17,21,30,34,,,,,80,86,58,64,5,15,6,8,5,10,cercospora-leaf-spot
Rabi,Blackgram,Cercospora Leaf Spot,Odisha,Sonepur,3,8,17,21,30,34,,,,,81,87,59,65,5,15,6,8,5,10,cercospora-leaf-spot
Rabi,Blackgram,Cercospora Leaf Spot,Odisha,Sundargarh,3,8,16,20,29,33,,,,,79,85,57,63,5,15,6,8,5,10,cercospora-leaf-spot
Rabi,Blackgram,Anthracnose,Odisha,Angul,5,10,18,22,29,33,,,,,83,89,55,61,6,14,6,8,5,10,anthracnose
Rabi,Blackgram,Anthracnose,Odisha,Balasore,6,11,19,23,30,34,,,,,85,91,57,63,8,16,7,9,6,11,anthracnose
Rabi,Blackgram,Anthracnose,Odisha,Bargarh,5,10,17,21,31,35,,,,,82,88,54,60,5,13,6,8,5,9,anthracnose
Rabi,Blackgram,Anthracnose,Odisha,Bhadrak,6,11,19,23,30,34,,,,,85,91,56,62,7,15,6,8,6,10,anthracnose
Rabi,Blackgram,Anthracnose,Odisha,Balangir,5,10,16,20,30,34,,,,,81,87,53,59,5,12,6,8,5,9,anthracnose
Rabi,Blackgram,Anthracnose,Odisha,Boudh,5,10,17,21,29,33,,,,,83,89,54,60,5,13,6,8,5,9,anthracnose
Rabi,Blackgram,Anthracnose,Odisha,Cuttack,6,11,18,22,29,33,,,,,85,91,56,62,7,15,6,8,6,10,anthracnose
Rabi,Blackgram,Anthracnose,Odisha,Deogarh,5,10,17,21,30,34,,,,,82,88,54,60,5,13,6,8,5,9,anthracnose
Rabi,Blackgram,Anthracnose,Odisha,Dhenkanal,5,10,18,22,30,34,,,,,84,90,55,61,6,14,6,8,5,10,anthracnose
Rabi,Blackgram,Anthracnose,Odisha,Gajapati,6,11,17,21,29,33,,,,,84,90,56,62,7,15,6,8,5,9,anthracnose
Rabi,Blackgram,Anthracnose,Odisha,Ganjam,6,11,18,22,30,34,,,,,85,91,56,62,7,15,6,8,6,10,anthracnose
Rabi,Blackgram,Anthracnose,Odisha,Jagatsinghapur,6,11,19,23,30,34,,,,,86,92,58,64,8,16,6,8,6,10,anthracnose
Rabi,Blackgram,Anthracnose,Odisha,Jajpur,6,11,18,22,29,33,,,,,85,91,56,62,7,15,6,8,6,10,anthracnose
Rabi,Blackgram,Anthracnose,Odisha,Jharsuguda,5,10,16,20,31,35,,,,,81,87,53,59,5,12,6,8,5,9,anthracnose
Rabi,Blackgram,Anthracnose,Odisha,Kalahandi,5,10,16,20,30,34,,,,,82,88,53,59,5,12,6,8,5,9,anthracnose
Rabi,Blackgram,Anthracnose,Odisha,Kandhamal,5,10,15,19,28,32,,,,,84,90,55,61,6,13,6,8,4,9,anthracnose
Rabi,Blackgram,Anthracnose,Odisha,Kendrapara,6,11,19,23,30,34,,,,,86,92,58,64,8,16,6,8,6,10,anthracnose
Rabi,Blackgram,Anthracnose,Odisha,Keonjhar,5,10,17,21,29,33,,,,,83,89,54,60,6,13,6,8,5,9,anthracnose
Rabi,Blackgram,Anthracnose,Odisha,Khordha,6,11,18,22,30,34,,,,,85,91,56,62,7,15,6,8,6,10,anthracnose
Rabi,Blackgram,Anthracnose,Odisha,Koraput,5,10,15,19,28,32,,,,,83,89,55,61,6,13,6,8,4,9,anthracnose
Rabi,Blackgram,Anthracnose,Odisha,Malkangiri,5,10,16,20,29,33,,,,,84,90,55,61,6,13,6,8,5,9,anthracnose
Rabi,Blackgram,Anthracnose,Odisha,Mayurbhanj,5,10,17,21,29,33,,,,,84,90,55,61,6,13,6,8,5,9,anthracnose
Rabi,Blackgram,Anthracnose,Odisha,Nabarangpur,5,10,16,20,30,34,,,,,83,89,54,60,6,13,6,8,5,9,anthracnose
Rabi,Blackgram,Anthracnose,Odisha,Nayagarh,5,10,17,21,30,34,,,,,84,90,55,61,6,13,6,8,5,9,anthracnose
Rabi,Blackgram,Anthracnose,Odisha,Nuapada,5,10,16,20,31,35,,,,,82,88,54,60,5,12,6,8,5,9,anthracnose
Rabi,Blackgram,Anthracnose,Odisha,Puri,6,11,19,23,30,34,,,,,86,92,57,63,8,16,6,8,6,10,anthracnose
Rabi,Blackgram,Anthracnose,Odisha,Rayagada,5,10,15,19,29,33,,,,,83,89,55,61,6,13,6,8,4,9,anthracnose
Rabi,Blackgram,Anthracnose,Odisha,Sambalpur,5,10,17,21,31,35,,,,,82,88,54,60,5,12,6,8,5,9,anthracnose
Rabi,Blackgram,Anthracnose,Odisha,Sonepur,5,10,16,20,30,34,,,,,82,88,54,60,5,12,6,8,5,9,anthracnose
Rabi,Blackgram,Anthracnose,Odisha,Sundargarh,5,10,16,20,30,34,,,,,82,88,54,60,5,12,6,8,5,9,anthracnose
Rabi,Blackgram,Rust,Odisha,Angul,6,11,17,21,28,32,,,,,82,88,58,64,6,12,7,8,5,9,rust
Rabi,Blackgram,Rust,Odisha,Balasore,5,10,18,22,27,31,,,,,86,92,62,68,8,16,6,7,6,10,rust
Rabi,Blackgram,Rust,Odisha,Bargarh,7,12,16,20,29,33,,,,,80,86,56,62,5,11,7,9,5,9,rust
Rabi,Blackgram,Rust,Odisha,Bhadrak,6,11,18,22,28,32,,,,,87,93,63,69,8,14,6,7,6,10,rust
Rabi,Blackgram,Rust,Odisha,Balangir,7,12,16,20,30,34,,,,,79,85,55,61,5,10,7,9,5,9,rust
Rabi,Blackgram,Rust,Odisha,Boudh,6,11,16,21,29,33,,,,,81,87,57,63,5,11,7,8,5,9,rust
Rabi,Blackgram,Rust,Odisha,Cuttack,5,10,18,22,27,31,,,,,85,91,61,67,7,13,6,7,6,10,rust
Rabi,Blackgram,Rust,Odisha,Deogarh,7,12,16,20,29,33,,,,,80,86,56,62,5,10,7,9,5,9,rust
Rabi,Blackgram,Rust,Odisha,Dhenkanal,6,11,17,21,28,32,,,,,83,89,59,65,6,12,7,8,5,9,rust
Rabi,Blackgram,Rust,Odisha,Gajapati,6,12,15,19,27,31,,,,,84,90,60,66,6,12,7,8,4,8,rust
Rabi,Blackgram,Rust,Odisha,Ganjam,5,10,17,21,28,32,,,,,86,92,62,68,7,13,6,7,5,9,rust
Rabi,Blackgram,Rust,Odisha,Jagatsinghapur,6,11,18,22,27,31,,,,,88,94,64,70,8,14,6,7,6,10,rust
Rabi,Blackgram,Rust,Odisha,Jajpur,5,10,18,22,27,31,,,,,86,92,62,68,7,13,6,7,6,10,rust
Rabi,Blackgram,Rust,Odisha,Jharsuguda,7,12,15,19,30,34,,,,,78,84,54,60,5,10,7,9,5,9,rust
Rabi,Blackgram,Rust,Odisha,Kalahandi,7,12,15,20,29,33,,,,,79,85,55,61,5,10,7,9,5,9,rust
Rabi,Blackgram,Rust,Odisha,Kandhamal,6,11,14,18,26,30,,,,,84,90,60,66,6,12,7,8,4,8,rust
Rabi,Blackgram,Rust,Odisha,Kendrapara,5,10,18,22,27,31,,,,,88,94,64,70,8,14,6,7,6,10,rust
Rabi,Blackgram,Rust,Odisha,Keonjhar,6,11,16,21,28,32,,,,,82,88,58,64,6,12,7,8,5,9,rust
Rabi,Blackgram,Rust,Odisha,Khordha,5,10,18,22,28,32,,,,,86,92,62,68,7,13,6,7,6,10,rust
Rabi,Blackgram,Rust,Odisha,Koraput,7,12,14,18,26,30,,,,,84,90,60,66,6,12,7,8,4,8,rust
Rabi,Blackgram,Rust,Odisha,Malkangiri,7,12,15,19,27,31,,,,,83,89,59,65,6,12,7,8,4,8,rust
Rabi,Blackgram,Rust,Odisha,Mayurbhanj,6,11,17,21,28,32,,,,,83,89,59,65,6,12,7,8,5,9,rust
Rabi,Blackgram,Rust,Odisha,Nabarangpur,7,12,15,20,27,31,,,,,82,88,58,64,6,12,7,8,4,8,rust
Rabi,Blackgram,Rust,Odisha,Nayagarh,6,11,17,21,28,32,,,,,84,90,60,66,7,13,6,7,5,9,rust
Rabi,Blackgram,Rust,Odisha,Nuapada,7,12,15,20,30,34,,,,,79,85,55,61,5,10,7,9,5,9,rust
Rabi,Blackgram,Rust,Odisha,Puri,5,10,18,22,27,31,,,,,87,93,63,69,8,14,6,7,6,10,rust
Rabi,Blackgram,Rust,Odisha,Rayagada,7,12,15,19,27,31,,,,,83,89,59,65,6,12,7,8,4,8,rust
Rabi,Blackgram,Rust,Odisha,Sambalpur,6,11,16,20,29,33,,,,,80,86,56,62,5,10,7,9,5,9,rust
Rabi,Blackgram,Rust,Odisha,Sonepur,7,12,16,21,29,33,,,,,81,87,57,63,5,11,7,9,5,9,rust
Rabi,Blackgram,Rust,Odisha,Sundargarh,6,11,15,20,29,33,,,,,79,85,55,61,5,10,7,9,5,9,rust
Rabi,Blackgram,Root Rot,Odisha,Angul,4,6,17,22,30,35,,,,,68,74,42,48,2,6,8,9,5,9,root-rot
Rabi,Blackgram,Root Rot,Odisha,Balasore,3,6,18,23,29,34,,,,,70,76,44,50,3,7,8,9,5,9,root-rot
Rabi,Blackgram,Root Rot,Odisha,Bargarh,4,5,16,21,31,36,,,,,66,72,40,46,2,5,9,10,5,9,root-rot
Rabi,Blackgram,Root Rot,Odisha,Bhadrak,3,6,18,23,30,35,,,,,72,78,46,52,3,7,8,9,5,9,root-rot
Rabi,Blackgram,Root Rot,Odisha,Balangir,4,5,16,21,32,37,,,,,65,71,39,45,2,5,9,10,5,9,root-rot
Rabi,Blackgram,Root Rot,Odisha,Boudh,3,6,17,22,31,36,,,,,67,73,41,47,2,6,8,9,5,9,root-rot
Rabi,Blackgram,Root Rot,Odisha,Cuttack,3,5,18,23,30,35,,,,,70,76,44,50,3,7,8,9,5,9,root-rot
Rabi,Blackgram,Root Rot,Odisha,Deogarh,4,7,16,21,31,36,,,,,66,72,40,46,2,5,9,10,5,9,root-rot
Rabi,Blackgram,Root Rot,Odisha,Dhenkanal,3,6,17,22,30,35,,,,,68,74,42,48,2,6,8,9,5,9,root-rot
Rabi,Blackgram,Root Rot,Odisha,Gajapati,4,7,16,21,29,34,,,,,71,77,45,51,2,6,8,9,4,8,root-rot
Rabi,Blackgram,Root Rot,Odisha,Ganjam,3,5,17,22,30,35,,,,,72,78,46,52,3,7,8,9,5,9,root-rot
Rabi,Blackgram,Root Rot,Odisha,Jagatsinghapur,3,5,18,23,29,34,,,,,74,80,48,54,3,7,8,9,5,9,root-rot
Rabi,Blackgram,Root Rot,Odisha,Jajpur,3,5,18,23,29,34,,,,,72,78,46,52,3,7,8,9,5,9,root-rot
Rabi,Blackgram,Root Rot,Odisha,Jharsuguda,4,6,16,21,32,37,,,,,64,70,38,44,2,5,9,10,5,9,root-rot
Rabi,Blackgram,Root Rot,Odisha,Kalahandi,4,7,15,20,32,37,,,,,65,71,39,45,2,5,9,10,5,9,root-rot
Rabi,Blackgram,Root Rot,Odisha,Kandhamal,3,6,15,20,29,34,,,,,70,76,44,50,2,6,8,9,4,8,root-rot
Rabi,Blackgram,Root Rot,Odisha,Kendrapara,3,5,18,23,29,34,,,,,74,80,48,54,3,7,8,9,5,9,root-rot
Rabi,Blackgram,Root Rot,Odisha,Keonjhar,3,7,17,22,30,35,,,,,68,74,42,48,2,6,8,9,5,9,root-rot
Rabi,Blackgram,Root Rot,Odisha,Khordha,3,5,18,23,30,35,,,,,72,78,46,52,3,7,8,9,5,9,root-rot
Rabi,Blackgram,Root Rot,Odisha,Koraput,4,7,15,20,28,33,,,,,70,76,44,50,2,6,8,9,4,8,root-rot
Rabi,Blackgram,Root Rot,Odisha,Malkangiri,4,7,16,21,29,34,,,,,69,75,43,49,2,6,8,9,4,8,root-rot
Rabi,Blackgram,Root Rot,Odisha,Mayurbhanj,3,7,17,22,30,35,,,,,69,75,43,49,2,6,8,9,5,9,root-rot
Rabi,Blackgram,Root Rot,Odisha,Nabarangpur,4,7,15,20,29,34,,,,,68,74,42,48,2,6,8,9,4,8,root-rot
Rabi,Blackgram,Root Rot,Odisha,Nayagarh,3,6,17,22,30,35,,,,,70,76,44,50,3,7,8,9,5,9,root-rot
Rabi,Blackgram,Root Rot,Odisha,Nuapada,4,6,16,21,31,36,,,,,66,72,40,46,2,5,9,10,5,9,root-rot
Rabi,Blackgram,Root Rot,Odisha,Puri,3,5,18,23,29,34,,,,,73,79,47,53,3,7,8,9,5,9,root-rot
Rabi,Blackgram,Root Rot,Odisha,Rayagada,4,7,15,20,28,33,,,,,69,75,43,49,2,6,8,9,4,8,root-rot
Rabi,Blackgram,Root Rot,Odisha,Sambalpur,4,6,16,21,31,36,,,,,66,72,40,46,2,5,9,10,5,9,root-rot
Rabi,Blackgram,Root Rot,Odisha,Sonepur,4,6,16,21,31,36,,,,,67,73,41,47,2,6,9,10,5,9,root-rot
Rabi,Blackgram,Root Rot,Odisha,Sundargarh,4,6,16,21,31,36,,,,,66,72,40,46,2,5,9,10,5,9,root-rot
Rabi,Blackgram,Bacterial Leaf Spot/ Blight,Odisha,Angul,4,6,17,18,30,32,,,,,86,88,48,52,8,12,6,7,3,4,bacterial-leaf-spot+blight
Rabi,Blackgram,Bacterial Leaf Spot/ Blight,Odisha,Balasore,4,6,18,19,31,33,,,,,88,90,50,54,10,14,6,7,3,4,bacterial-leaf-spot+blight
Rabi,Blackgram,Bacterial Leaf Spot/ Blight,Odisha,Bargarh,5,7,16,17,29,31,,,,,84,86,46,50,6,9,7,8,2,3,bacterial-leaf-spot+blight
